ano,codmun7,idhm,pesotot
1991,1100015,0.329,23546
1991,1100023,0.432,56812
1991,1100031,0.309,7676
1991,1100049,0.407,69725
1991,1100056,0.386,19371
1991,1100064,0.376,25664
1991,1100072,0.203,11897
1991,1100080,0.425,7806
1991,1100098,0.388,23156
1991,1100106,0.468,32583
1991,1100114,0.352,49601
1991,1100122,0.433,100726
1991,1100130,0.286,11774
1991,1100148,0.272,19313
1991,1100155,0.382,37805
1991,1100189,0.412,31910
1991,1100205,0.495,271441
1991,1100254,0.348,29727
1991,1100262,0.259,2696
1991,1100288,0.383,43930
1991,1100296,0.289,12328
1991,1100304,0.498,37751
1991,1100320,0.252,10452
1991,1100338,0.336,7248
1991,1100346,0.313,20205
1991,1100379,0.241,8623
1991,1100403,0.269,8764
1991,1100452,0.325,768
1991,1100502,0.199,11419
1991,1100601,0.283,5238
1991,1100700,0.293,3799
1991,1100809,0.366,7739
1991,1100908,0.221,4402
1991,1100924,0.281,3887
1991,1100940,0.237,2756
1991,1101005,0.217,7124
1991,1101104,0.349,3761
1991,1101203,0.277,9546
1991,1101302,0.254,11842
1991,1101401,0.27,7533
1991,1101435,0.228,6725
1991,1101450,0.174,3457
1991,1101468,0.28,2546
1991,1101476,0.284,5502
1991,1101484,0.232,6947
1991,1101492,0.298,2571
1991,1101500,0.258,5491
1991,1101559,0.226,5541
1991,1101609,0.247,6811
1991,1101708,0.23,10998
1991,1101757,0.216,4904
1991,1101807,0.247,8860
1991,1200013,0.247,6723
1991,1200054,0.314,4269
1991,1200104,0.336,13292
1991,1200138,0.267,3196
1991,1200179,0.183,2312
1991,1200203,0.398,55037
1991,1200252,0.372,7478
1991,1200302,0.258,20526
1991,1200328,0.17,4248
1991,1200336,0.298,9492
1991,1200344,0.218,7132
1991,1200351,0.186,9244
1991,1200385,0.265,11168
1991,1200393,0.176,6546
1991,1200401,0.485,184771
1991,1200427,0.245,4704
1991,1200435,0.167,1158
1991,1200450,0.354,15847
1991,1200500,0.317,22183
1991,1200609,0.274,25157
1991,1200708,0.348,11257
1991,1200807,0.259,4821
1991,1300029,0.306,8487
1991,1300060,0.254,4738
1991,1300086,0.307,6024
1991,1300102,0.357,8990
1991,1300144,0.322,5732
1991,1300201,0.246,7993
1991,1300300,0.357,17107
1991,1300409,0.317,11035
1991,1300508,0.293,16316
1991,1300607,0.3,19365
1991,1300631,0.272,7436
1991,1300680,0.287,7504
1991,1300706,0.288,26705
1991,1300805,0.305,17217
1991,1300839,0.258,6833
